split,cluster,band,cost,direction,retained,contracts,events,trades
test,6,0,3,Y,False,7,4,698
test,6,0,4,N,False,4,3,6
test,6,0,4,Y,False,5,4,408
test,6,0,5,N,False,2,2,4
test,6,0,5,Y,False,7,5,145
test,6,0,6,N,False,1,1,2
test,6,0,6,Y,False,4,3,53
test,6,0,7,N,False,1,1,1
test,6,0,7,Y,False,8,5,35
test,6,0,8,N,False,3,3,3
test,6,0,8,Y,False,6,3,16
test,6,0,9,N,False,2,2,4
test,6,0,9,Y,False,5,5,14
test,6,0,10,N,False,3,3,5
test,6,0,10,Y,False,7,7,30
test,6,1,11,N,False,4,4,8
test,6,1,11,Y,False,6,5,15
test,6,1,12,N,False,2,2,6
test,6,1,12,Y,False,8,7,16
test,6,1,13,N,False,1,1,3
test,6,1,13,Y,False,8,6,23
test,6,1,14,N,False,2,2,4
test,6,1,14,Y,False,7,6,12
test,6,1,15,N,False,4,4,4
test,6,1,15,Y,False,11,8,21
test,6,1,16,N,False,4,4,7
test,6,1,16,Y,False,6,6,16
test,6,1,17,N,True,6,5,11
test,6,1,17,Y,True,5,5,19
test,6,1,18,N,False,5,4,8
test,6,1,18,Y,False,4,4,8
test,6,1,19,N,True,7,6,11
test,6,1,19,Y,True,5,5,32
test,6,1,20,N,False,6,6,14
test,6,1,20,Y,False,3,3,43
test,6,2,21,N,True,8,7,20
test,6,2,21,Y,True,6,6,46
test,6,2,22,N,False,5,4,22
test,6,2,22,Y,False,3,2,57
test,6,2,23,N,True,8,7,19
test,6,2,23,Y,True,5,5,32
test,6,2,24,N,False,3,3,19
test,6,2,24,Y,False,5,5,52
test,6,2,25,N,True,9,9,22
test,6,2,25,Y,True,10,10,68
test,6,2,26,N,False,5,5,16
test,6,2,26,Y,False,4,4,47
test,6,2,27,N,False,5,5,17
test,6,2,27,Y,False,4,4,52
test,6,2,28,N,False,7,7,23
test,6,2,28,Y,False,3,3,59
test,6,2,29,N,True,8,8,18
test,6,2,29,Y,True,8,8,68
test,6,2,30,N,True,9,8,30
test,6,2,30,Y,True,7,7,96
test,6,3,31,N,True,7,6,19
test,6,3,31,Y,True,12,10,52
test,6,3,32,N,True,6,6,26
test,6,3,32,Y,True,6,6,48
test,6,3,33,N,True,5,5,24
test,6,3,33,Y,True,10,8,60
test,6,3,34,N,True,7,6,24
test,6,3,34,Y,True,8,8,42
test,6,3,35,N,True,9,8,46
test,6,3,35,Y,True,15,12,62
test,6,3,36,N,True,9,9,31
test,6,3,36,Y,True,7,7,54
test,6,3,37,N,True,8,8,33
test,6,3,37,Y,True,9,9,56
test,6,3,38,N,True,10,9,31
test,6,3,38,Y,True,8,8,28
test,6,3,39,N,True,12,11,68
test,6,3,39,Y,True,6,6,18
test,6,3,40,N,True,14,13,64
test,6,3,40,Y,True,10,10,53
test,6,4,41,N,True,8,8,57
test,6,4,41,Y,True,10,9,34
test,6,4,42,N,True,9,8,75
test,6,4,42,Y,True,10,9,22
test,6,4,43,N,True,8,7,45
test,6,4,43,Y,True,12,11,36
test,6,4,44,N,True,9,9,56
test,6,4,44,Y,True,13,12,33
test,6,4,45,N,True,11,11,72
test,6,4,45,Y,True,17,16,66
test,6,4,46,N,True,11,10,67
test,6,4,46,Y,True,16,15,78
test,6,4,47,N,True,7,7,52
test,6,4,47,Y,True,6,6,45
test,6,4,48,N,True,9,8,61
test,6,4,48,Y,True,7,7,56
test,6,4,49,N,True,10,10,80
test,6,4,49,Y,True,12,12,83
test,8,0,1,N,True,7,6,27
test,8,0,1,Y,True,5,4,33
test,8,0,2,N,True,6,6,7
test,8,0,2,Y,True,7,5,13
test,8,0,3,N,False,4,4,8
test,8,0,3,Y,False,9,9,42
test,8,0,4,N,False,3,3,5
test,8,0,4,Y,False,7,7,31
test,8,0,5,N,False,4,4,8
test,8,0,5,Y,False,8,8,34
test,8,0,6,N,False,4,4,8
test,8,0,6,Y,False,9,8,31
test,8,0,7,N,False,4,4,8
test,8,0,7,Y,False,10,8,21
test,8,0,8,N,False,3,3,3
test,8,0,8,Y,False,7,6,34
test,8,0,9,N,False,2,2,2
test,8,0,9,Y,False,7,7,15
test,8,0,10,N,False,4,4,7
test,8,0,10,Y,False,14,13,35
test,8,1,11,N,False,3,3,5
test,8,1,11,Y,False,12,11,21
test,8,1,12,N,False,4,4,5
test,8,1,12,Y,False,9,8,23
test,8,1,13,N,True,5,5,10
test,8,1,13,Y,True,9,9,16
test,8,1,14,N,False,3,3,4
test,8,1,14,Y,False,6,6,15
test,8,1,15,N,True,8,8,18
test,8,1,15,Y,True,9,9,12
test,8,1,16,N,False,4,4,5
test,8,1,16,Y,False,5,5,10
test,8,1,17,N,True,5,5,8
test,8,1,17,Y,True,6,6,40
test,8,1,18,N,True,6,6,16
test,8,1,18,Y,True,8,8,60
test,8,1,19,N,False,3,3,6
test,8,1,19,Y,False,9,9,79
test,8,1,20,N,False,4,4,7
test,8,1,20,Y,False,7,7,125
test,8,2,21,N,True,5,5,5
test,8,2,21,Y,True,9,9,62
test,8,2,22,N,True,5,5,11
test,8,2,22,Y,True,9,9,150
test,8,2,23,N,False,3,3,6
test,8,2,23,Y,False,10,10,180
test,8,2,24,N,False,4,4,7
test,8,2,24,Y,False,11,11,133
test,8,2,25,N,False,4,4,7
test,8,2,25,Y,False,11,11,183
test,8,2,26,N,False,4,4,5
test,8,2,26,Y,False,12,12,152
test,8,2,27,N,False,3,3,4
test,8,2,27,Y,False,15,15,150
test,8,2,28,N,False,2,2,5
test,8,2,28,Y,False,12,12,150
test,8,2,29,N,False,3,3,4
test,8,2,29,Y,False,11,11,45
test,8,2,30,N,True,5,5,10
test,8,2,30,Y,True,13,13,33
test,8,3,31,N,False,4,4,4
test,8,3,31,Y,False,8,8,33
test,8,3,32,N,False,4,4,4
test,8,3,32,Y,False,14,14,40
test,8,3,33,N,False,4,4,4
test,8,3,33,Y,False,9,9,64
test,8,3,34,N,True,5,5,8
test,8,3,34,Y,True,10,10,33
test,8,3,35,N,False,4,4,5
test,8,3,35,Y,False,8,8,15
test,8,3,36,N,True,5,5,10
test,8,3,36,Y,True,11,11,19
test,8,3,37,N,True,7,7,11
test,8,3,37,Y,True,8,8,18
test,8,3,38,N,True,6,6,10
test,8,3,38,Y,True,10,10,28
test,8,3,39,N,True,8,8,10
test,8,3,39,Y,True,10,10,16
test,8,3,40,N,True,8,8,14
test,8,3,40,Y,True,14,14,26
test,8,4,41,N,True,7,7,9
test,8,4,41,Y,True,8,8,16
test,8,4,42,N,True,7,7,14
test,8,4,42,Y,True,13,13,33
test,8,4,43,N,True,9,9,15
test,8,4,43,Y,True,14,14,25
test,8,4,44,N,True,7,7,8
test,8,4,44,Y,True,16,16,29
test,8,4,45,N,True,9,9,10
test,8,4,45,Y,True,17,17,26
test,8,4,46,N,True,9,9,12
test,8,4,46,Y,True,15,15,33
test,8,4,47,N,True,8,8,11
test,8,4,47,Y,True,12,12,26
test,8,4,48,N,True,10,10,15
test,8,4,48,Y,True,13,13,28
test,8,4,49,N,True,6,6,9
test,8,4,49,Y,True,8,8,22
test,9,0,1,N,True,5,5,8
test,9,0,1,Y,True,11,9,34
test,9,0,2,N,False,2,2,3
test,9,0,2,Y,False,13,13,25
test,9,0,3,N,False,2,2,4
test,9,0,3,Y,False,7,7,21
test,9,0,4,Y,False,2,2,2
test,9,0,5,Y,False,5,5,5
test,9,0,6,N,False,3,3,3
test,9,0,6,Y,False,16,15,23
test,9,0,7,N,False,2,1,6
test,9,0,7,Y,False,12,12,25
test,9,0,8,N,True,5,3,5
test,9,0,8,Y,True,7,7,10
test,9,0,9,Y,False,3,3,4
test,9,0,10,N,False,1,1,2
test,9,0,10,Y,False,2,2,4
test,9,1,11,N,True,9,8,10
test,9,1,11,Y,True,28,25,75
test,9,1,12,N,False,3,3,3
test,9,1,12,Y,False,26,25,73
test,9,1,13,N,False,3,3,5
test,9,1,13,Y,False,15,14,40
test,9,1,14,N,False,3,3,4
test,9,1,14,Y,False,20,17,36
test,9,1,15,N,False,3,2,12
test,9,1,15,Y,False,13,13,30
test,9,1,16,N,True,11,8,30
test,9,1,16,Y,True,19,18,45
test,9,1,17,N,True,8,8,10
test,9,1,17,Y,True,14,12,34
test,9,1,18,N,True,5,5,6
test,9,1,18,Y,True,13,12,23
test,9,1,19,N,True,9,9,16
test,9,1,19,Y,True,18,18,33
test,9,1,20,N,True,15,11,18
test,9,1,20,Y,True,18,17,24
test,9,2,21,N,True,8,7,15
test,9,2,21,Y,True,14,13,28
test,9,2,22,N,True,8,7,17
test,9,2,22,Y,True,12,11,26
test,9,2,23,N,True,5,5,6
test,9,2,23,Y,True,17,15,21
test,9,2,24,N,True,15,13,21
test,9,2,24,Y,True,14,13,24
test,9,2,25,N,True,9,7,19
test,9,2,25,Y,True,17,15,30
test,9,2,26,N,True,8,8,12
test,9,2,26,Y,True,16,14,26
test,9,2,27,N,True,19,17,36
test,9,2,27,Y,True,19,17,29
test,9,2,28,N,True,24,19,45
test,9,2,28,Y,True,18,17,27
test,9,2,29,N,True,22,20,32
test,9,2,29,Y,True,18,17,28
test,9,2,30,N,True,14,12,30
test,9,2,30,Y,True,20,17,35
test,9,3,31,N,True,10,8,19
test,9,3,31,Y,True,26,22,46
test,9,3,32,N,True,11,11,17
test,9,3,32,Y,True,18,15,26
test,9,3,33,N,True,15,12,25
test,9,3,33,Y,True,22,21,30
test,9,3,34,N,True,18,16,33
test,9,3,34,Y,True,18,17,23
test,9,3,35,N,True,9,9,15
test,9,3,35,Y,True,25,21,41
test,9,3,36,N,True,9,9,18
test,9,3,36,Y,True,21,20,31
test,9,3,37,N,True,11,10,23
test,9,3,37,Y,True,18,17,40
test,9,3,38,N,True,18,16,41
test,9,3,38,Y,True,29,29,66
test,9,3,39,N,True,13,12,60
test,9,3,39,Y,True,29,28,91
test,9,3,40,N,True,23,20,54
test,9,3,40,Y,True,39,35,163
test,9,4,41,N,True,18,18,59
test,9,4,41,Y,True,43,38,169
test,9,4,42,N,True,24,20,118
test,9,4,42,Y,True,44,41,202
test,9,4,43,N,True,26,23,72
test,9,4,43,Y,True,41,39,144
test,9,4,44,N,True,28,24,100
test,9,4,44,Y,True,35,33,125
test,9,4,45,N,True,29,27,172
test,9,4,45,Y,True,42,39,145
test,9,4,46,N,True,29,27,296
test,9,4,46,Y,True,36,30,249
test,9,4,47,N,True,38,36,487
test,9,4,47,Y,True,33,27,325
test,9,4,48,N,True,38,36,529
test,9,4,48,Y,True,45,41,590
test,9,4,49,N,True,51,42,593
test,9,4,49,Y,True,42,39,427
test,10,0,2,Y,False,2,2,7
test,10,0,3,Y,False,2,2,10
test,10,0,4,Y,False,1,1,4
test,10,0,5,Y,False,1,1,1
test,10,0,6,N,False,1,1,1
test,10,0,6,Y,False,1,1,2
test,10,0,7,Y,False,2,2,6
test,10,0,8,N,False,1,1,1
test,10,0,8,Y,False,3,3,4
test,10,0,9,Y,False,1,1,3
test,10,0,10,N,False,1,1,9
test,10,0,10,Y,False,1,1,2
test,10,1,11,Y,False,2,2,2
test,10,1,12,Y,False,2,2,11
test,10,1,13,Y,False,1,1,1
test,10,1,14,Y,False,2,2,3
test,10,1,15,N,False,2,2,12
test,10,1,15,Y,False,2,2,13
test,10,1,16,N,False,1,1,5
test,10,1,16,Y,False,2,2,6
test,10,1,17,N,False,2,2,32
test,10,1,17,Y,False,2,1,3
test,10,1,18,N,False,3,3,6
test,10,1,18,Y,False,2,1,9
test,10,1,19,N,False,2,2,6
test,10,1,19,Y,False,2,1,2
test,10,1,20,N,False,5,5,9
test,10,1,20,Y,False,2,2,6
test,10,2,21,N,False,3,3,7
test,10,2,21,Y,False,4,3,11
test,10,2,22,Y,False,5,3,13
test,10,2,23,N,False,1,1,1
test,10,2,23,Y,False,3,3,6
test,10,2,24,N,False,1,1,1
test,10,2,24,Y,False,3,1,7
test,10,2,25,N,False,2,2,11
test,10,2,25,Y,False,3,3,5
test,10,2,26,N,False,1,1,18
test,10,2,26,Y,False,2,1,4
test,10,2,27,N,False,2,2,24
test,10,2,27,Y,False,4,2,6
test,10,2,28,N,False,1,1,12
test,10,2,28,Y,False,6,3,15
test,10,2,29,N,False,1,1,12
test,10,2,29,Y,False,3,3,15
test,10,2,30,N,False,1,1,29
test,10,2,30,Y,False,5,3,12
test,10,3,31,N,False,1,1,34
test,10,3,31,Y,False,4,2,4
test,10,3,32,N,False,1,1,28
test,10,3,32,Y,False,7,4,15
test,10,3,33,N,False,1,1,24
test,10,3,33,Y,False,4,2,7
test,10,3,34,N,False,1,1,22
test,10,3,34,Y,False,4,3,6
test,10,3,35,N,False,2,2,26
test,10,3,35,Y,False,5,2,9
test,10,3,36,N,False,2,2,17
test,10,3,36,Y,False,4,2,19
test,10,3,37,N,False,1,1,14
test,10,3,37,Y,False,3,1,22
test,10,3,38,N,False,2,2,11
test,10,3,38,Y,False,4,2,12
test,10,3,39,N,False,1,1,13
test,10,3,39,Y,False,3,1,12
test,10,3,40,N,False,2,2,10
test,10,3,40,Y,False,3,2,11
test,10,4,41,N,False,2,2,32
test,10,4,41,Y,False,2,2,5
test,10,4,42,N,False,2,2,18
test,10,4,42,Y,False,2,1,3
test,10,4,43,N,False,3,3,7
test,10,4,43,Y,False,3,2,12
test,10,4,44,N,False,3,3,7
test,10,4,44,Y,False,1,1,18
test,10,4,45,N,False,2,2,3
test,10,4,45,Y,False,2,1,13
test,10,4,46,N,False,3,3,4
test,10,4,46,Y,False,2,2,5
test,10,4,47,N,False,1,1,2
test,10,4,47,Y,False,2,2,5
test,10,4,48,N,False,2,2,6
test,10,4,48,Y,False,3,3,6
test,10,4,49,N,False,1,1,1
test,10,4,49,Y,False,1,1,2
test,11,0,1,N,False,1,1,2
test,11,0,2,N,False,1,1,1
test,11,0,2,Y,False,1,1,1
test,11,0,3,Y,False,1,1,1
test,11,0,5,N,False,2,2,3
test,11,0,5,Y,False,1,1,5
test,11,0,6,N,False,2,2,3
test,11,0,7,N,False,1,1,2
test,11,0,8,N,False,1,1,1
test,11,0,8,Y,False,1,1,1
test,11,0,9,N,False,1,1,2
test,11,0,10,N,False,2,2,2
test,11,1,11,N,False,4,3,4
test,11,1,12,N,False,1,1,2
test,11,1,14,N,False,1,1,3
test,11,1,14,Y,False,1,1,1
test,11,1,15,Y,False,1,1,1
test,11,1,16,N,False,4,4,8
test,11,1,16,Y,False,2,2,2
test,11,1,17,N,False,3,2,4
test,11,1,18,N,False,2,2,3
test,11,1,20,N,False,1,1,2
test,11,1,20,Y,False,1,1,1
test,11,2,21,N,False,4,4,6
test,11,2,21,Y,False,2,2,2
test,11,2,22,N,False,2,1,3
test,11,2,22,Y,False,2,2,3
test,11,2,25,N,False,1,1,2
test,11,2,25,Y,False,2,2,2
test,11,2,26,N,False,1,1,1
test,11,2,26,Y,False,2,2,2
test,11,2,27,N,False,1,1,1
test,11,2,27,Y,False,1,1,1
test,11,2,28,N,False,1,1,1
test,11,2,29,N,False,2,2,2
test,11,2,29,Y,False,2,2,2
test,11,2,30,N,False,3,3,4
test,11,2,30,Y,False,2,2,2
test,11,3,31,N,False,1,1,1
test,11,3,31,Y,False,3,3,4
test,11,3,32,N,False,4,4,9
test,11,3,32,Y,False,1,1,1
test,11,3,33,N,False,2,2,3
test,11,3,33,Y,False,2,2,2
test,11,3,34,N,False,2,2,3
test,11,3,35,N,False,2,2,2
test,11,3,35,Y,False,1,1,2
test,11,3,36,N,False,1,1,1
test,11,3,36,Y,False,1,1,1
test,11,3,37,N,False,2,2,10
test,11,3,37,Y,False,2,2,2
test,11,3,38,Y,False,1,1,1
test,11,3,39,N,False,1,1,1
test,11,3,39,Y,False,3,3,5
test,11,3,40,N,False,5,4,10
test,11,3,40,Y,False,2,2,10
test,11,4,41,N,False,5,4,6
test,11,4,41,Y,False,4,4,8
test,11,4,42,N,True,5,4,6
test,11,4,42,Y,True,5,5,11
test,11,4,43,N,False,3,3,9
test,11,4,43,Y,False,2,2,5
test,11,4,44,N,True,6,5,13
test,11,4,44,Y,True,6,6,26
test,11,4,45,N,True,5,5,10
test,11,4,45,Y,True,8,8,23
test,11,4,46,N,True,5,5,13
test,11,4,46,Y,True,8,8,41
test,11,4,47,N,True,7,7,28
test,11,4,47,Y,True,13,13,99
test,11,4,48,N,True,11,11,92
test,11,4,48,Y,True,20,19,171
test,11,4,49,N,True,14,14,105
test,11,4,49,Y,True,17,17,159
test,12,0,1,N,False,2,2,2
test,12,0,1,Y,False,2,2,67
test,12,0,2,N,False,2,2,2
test,12,0,2,Y,False,4,3,53
test,12,0,3,N,False,4,4,4
test,12,0,3,Y,False,2,2,41
test,12,0,4,N,False,1,1,1
test,12,0,4,Y,False,1,1,20
test,12,0,5,N,False,1,1,1
test,12,0,5,Y,False,4,3,25
test,12,0,6,N,False,2,2,2
test,12,0,6,Y,False,6,5,19
test,12,0,7,N,False,2,2,2
test,12,0,7,Y,False,6,4,29
test,12,0,8,N,False,2,2,3
test,12,0,8,Y,False,6,6,17
test,12,0,9,N,True,5,4,7
test,12,0,9,Y,True,5,5,18
test,12,0,10,N,False,3,3,3
test,12,0,10,Y,False,6,5,24
test,12,1,11,N,True,5,5,11
test,12,1,11,Y,True,5,5,17
test,12,1,12,N,False,3,3,3
test,12,1,12,Y,False,9,7,13
test,12,1,13,N,False,3,3,4
test,12,1,13,Y,False,6,6,14
test,12,1,14,N,False,2,2,2
test,12,1,14,Y,False,3,3,10
test,12,1,15,N,False,2,2,2
test,12,1,15,Y,False,3,3,4
test,12,1,16,N,False,3,3,4
test,12,1,16,Y,False,2,2,2
