approach,split,cluster,band,cost_low,cost_high,costs,n_costs,contracts,events,trades_total,contracts_Y,events_Y,trades_Y,contracts_N,events_N,trades_N,training_text_coherence,status,delta_yes_pp,delta_no_pp,wedge_pp,ci_low_pp,ci_high_pp,se_pp,bootstrap_valid,mean_price,price_sd,log_trades,log_units,words,characters,mean_word_length,question_mark,threshold,negation,positive_words,negative_words,political_words,capitalized_tokens,number_tokens,punctuation,lsa_00,lsa_01,lsa_02,lsa_03,lsa_04,lsa_05,lsa_06,lsa_07,lsa_08,lsa_09,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20,lsa_21,lsa_22,lsa_23,lsa_24,lsa_25,lsa_26,lsa_27,lsa_28,lsa_29,lsa_30,lsa_31,cost_mean
text,test,9,3,31,40,"31,32,33,34,37,38,39,40",8,23,23,295,15,15,213,10,10,82,0.7231879231439071,insufficient_support,,,,,,,0,0.4754406622040073,0.07680563641698647,3.4202768180394623,7.3157980021543,8.956521739130435,54.69565217391305,4.290114240689689,1.0,0.6086956521739131,0.0,0.17391304347826086,0.0,0.0,2.347826086956522,1.6521739130434783,0.4782608695652174,0.25242545746361733,0.07353515556004493,0.02615348088133439,0.24012621917184407,0.029352744382526857,-0.11435639240892062,0.3643204495257723,-0.03922700647221866,-0.014819274768890328,0.00505139415649106,-0.19120024183444673,0.061727799075474175,0.053514926868352866,0.03030393173542233,0.16973568588588625,0.17191004709661203,0.021776307422130388,-0.04451471592314125,0.029761528942327146,0.018438616599074344,-0.2526799118160951,0.3597279107808576,-0.08975694087608711,-0.022525990560159134,-0.10470296046792052,0.00981544600827541,-0.03137867111691389,-0.05526737017379084,-0.02483193439512784,0.03040859744094379,0.007450000918582618,-0.010503595746991974,0.355
text,test,9,4,41,49,"41,42,43,44,45,46,47,48,49",9,26,26,304,18,18,193,17,17,111,0.7231879231439071,insufficient_support,,,,,,,0,0.48031053119048034,0.06451519464721157,3.070268840004293,6.877217558363356,10.038461538461538,64.1923076923077,4.326922015892604,1.0,0.6923076923076923,0.0,0.23076923076923078,0.0,0.0,2.1538461538461537,2.230769230769231,0.6538461538461539,0.3020554815672145,0.09291378421178603,-0.0018654965467231504,0.25288342604400793,0.020653202663411616,-0.11662547908746851,0.36185737558527803,-0.021605223617665557,-0.03437397698935049,0.008515031815057651,-0.14781765324021384,0.033568713591390825,0.03742078701838678,0.00496914025776147,0.17656002435150217,0.22986229673819458,0.0075419414266410705,-0.037887715825437644,0.013804715772365604,0.03962913628480365,-0.27660117597415057,0.4082699522681178,-0.08806072052121414,-0.009894431893472158,-0.08505680133905226,0.0030251399199176148,-0.034418870806638975,-0.08055084724345003,-0.03925053121378229,-0.0009176617647391561,-0.020394087246181396,0.010913697570665043,0.45
text,test,10,0,1,10,,0,0,0,0,0,0,0,0,0,0,0.8245711496061386,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,10,1,11,20,,0,0,0,0,0,0,0,0,0,0,0.8245711496061386,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,10,2,21,30,,0,0,0,0,0,0,0,0,0,0,0.8245711496061386,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,10,3,31,40,"32,33,34,36,37,39",6,24,21,203,17,16,144,10,10,59,0.8245711496061386,insufficient_support,,,,,,,0,0.4339258421849124,0.079448992107383,3.5183449575884205,7.158494301283004,10.291666666666666,63.166666666666664,4.057519910644911,1.0,0.4583333333333333,0.0,0.041666666666666664,0.0,0.041666666666666664,3.2083333333333335,2.25,0.5833333333333334,0.3744501300859042,0.0921546006870621,0.1639062064321488,0.12171567538876454,0.15046065169267778,-0.09334743108400785,0.1962729577177753,-0.15656480457046093,0.1959720195864999,0.013290042584347914,0.013382317612384731,-0.10594514770775713,0.0457735509831241,-0.011236784316036497,0.12439157008637573,0.11687477915285675,-0.015354302888978884,0.015404564792824432,-0.08542891206249385,0.11808518400084167,-0.10108521599872493,0.21158429733830977,0.010459696206093166,-0.21810859512968003,0.19666993698953808,-0.07339513268241611,0.07538807359161985,-0.05203714742500779,0.026073121266506644,-0.12157420812237789,0.2876044294837099,-0.008870893758553515,0.3516666666666666
text,test,10,4,41,49,"41,44,45,46,48,49",6,17,17,275,11,11,150,12,12,125,0.8245711496061386,insufficient_support,,,,,,,0,0.4499486271701008,0.07357219519359452,3.3298519191193057,6.748807592511293,10.411764705882353,64.6470588235294,4.09577677224736,1.0,0.4117647058823529,0.0,0.058823529411764705,0.0,0.0,3.6470588235294117,2.411764705882353,0.7058823529411765,0.3889416265849488,0.12337627484744441,0.1518833090377431,0.1488996718253215,0.1907334696664179,-0.08714342653484905,0.1974780595199133,-0.14490855570058833,0.19141357598116054,0.019367225893266254,0.005108006092133661,-0.10867471038715613,0.037548860236220595,-0.0030053801680309123,0.12739265346093753,0.0951182358248436,0.011774134138954992,0.027158606198666342,-0.09504470840570481,0.10940396987771316,-0.11469288473338081,0.21233135708990322,0.0051234598495076885,-0.20835299016446737,0.20153673342024897,-0.08663710614338357,0.08803303703884795,-0.05513551954238517,0.046628064006995804,-0.11127218868234065,0.2448454260495206,-0.014695363539985582,0.455
text,test,11,0,1,10,,0,0,0,0,0,0,0,0,0,0,0.9699606966714576,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,11,1,11,20,,0,0,0,0,0,0,0,0,0,0,0.9699606966714576,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,11,2,21,30,,0,0,0,0,0,0,0,0,0,0,0.9699606966714576,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,11,3,31,40,,0,0,0,0,0,0,0,0,0,0,0.9699606966714576,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,11,4,41,49,,0,0,0,0,0,0,0,0,0,0,0.9699606966714576,insufficient_support,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,test,12,0,1,10,"1,2,3,4,5,6,7,8,9,10",10,228,160,1371,118,95,558,123,99,813,0.9621008279151232,eligible,-0.09043482949669057,7.77886608397243,-7.869300913469121,-18.8493983053278,2.266887775459936,6.126740121777207,200,0.5087011097836789,0.11629554913847699,2.9978149274888026,7.7663735437817705,6.0,41.67982456140351,3.833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.1743587135008371,0.36492485426551424,0.43630109418433183,0.07840309496341392,0.7475780146834954,0.028711080325016923,-0.005382385315196628,0.06721000911988212,-0.1288980258900261,-0.0030378762863016943,0.024989681389821248,0.05784899444249421,-0.06847983920048771,-0.036368624257717336,0.03024304729295931,0.08582894352825501,-0.003563096661684835,-0.005108349600929881,-0.020712330713087902,0.016213634604327166,0.024622047655203556,-0.0045852092592552,0.00014392505189713236,0.06641954819841017,0.02732201305637433,-0.013176345796687255,0.0025037204097895214,0.00015341143888440638,-0.0017327143556124499,0.010204390536123726,-0.03696708045613144,0.035087965687417746,0.055
text,test,12,1,11,20,"11,12,13,14,15,16,17,18,19,20",10,299,208,2194,170,136,1095,157,128,1099,0.9621008279151232,eligible,-6.887209102955519,1.0142826289021116,-7.9014917318576305,-20.551907837608983,3.4232106193122496,6.364989709085372,200,0.49945423698135394,0.12060374532584449,2.997921736459632,7.754905391731625,5.996655518394649,41.65551839464883,3.8365663322185055,1.0,0.0,0.0,0.0,0.0,0.0,2.0033444816053514,2.9933110367892977,0.9966555183946488,0.17509011965128715,0.3636983919006925,0.43607247810130356,0.08183528272059189,0.7523228634207841,0.0292839246880029,-0.007633810794424851,0.06384252129943288,-0.12353187105244866,-0.005050320482056747,0.016247428981517823,0.06096741478672005,-0.06666120129799774,-0.033903375471927295,0.036471025639469155,0.07762943496046192,-0.004368658669085024,-0.0034525386221845376,-0.017591079661942437,0.013560185960500385,0.0262903709814736,-0.008968542122388236,-0.001652258133362844,0.05185574141159306,0.015625663593319204,-0.01400167412368987,0.006345861162616979,-0.0012062919968441267,-0.0010745675990008721,0.006426083716241482,-0.03838183868117781,0.028458426151248845,0.155
text,test,12,2,21,30,"21,22,23,24,25,26,27,28,29,30",10,282,197,2469,176,135,1074,173,138,1395,0.9621008279151232,eligible,-7.203802340713196,1.2090897967594372,-8.412892137472634,-26.2283883058821,8.120398572075487,9.929606657759084,200,0.5012347241137659,0.12848108045069265,3.0612402474567264,7.741449107566586,5.99645390070922,41.60992907801418,3.837352245862884,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.982269503546099,0.9929078014184397,0.17531780427419494,0.36289580450164216,0.4365242447813677,0.08278699850341424,0.7526257236490351,0.029272649780324317,-0.00749872346908395,0.062464246758016734,-0.120850832717318,-0.0057991425527434215,0.013385072371594272,0.06089389192399555,-0.06619412917552214,-0.032840561414117765,0.03805657222753514,0.07481581825219227,-0.004630983352319033,-0.003093476564865166,-0.01674752272872284,0.012186387624488764,0.025937228923480864,-0.009856016098697082,-0.0019141863909607198,0.04660341324700566,0.012021760991848861,-0.013383087341842886,0.007020808370135782,-0.0017223972157589065,0.0001497717842608265,0.005737970585896419,-0.039009401124428696,0.026294852463189803,0.255
text,test,12,3,31,40,"31,32,33,34,35,36,37,38,39,40",10,250,184,2626,175,139,1227,167,133,1399,0.9621008279151232,eligible,-1.6614906226427677,1.3599554061078978,-3.0214460287506655,-34.22775720225338,25.769600093868473,14.740543790480086,200,0.5075623075662766,0.13636007970300737,3.142694778945603,7.753394993098029,5.996,41.596,3.8378666666666668,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.98,0.992,0.17558756590020766,0.3630884213550244,0.436071458656671,0.0841860862870239,0.7535324424240669,0.029346878079907192,-0.008005175528411665,0.06143280286360373,-0.11936053642182425,-0.006770289762586243,0.011201165650094899,0.06170868974723948,-0.06584653791783701,-0.032104634383369995,0.039654050674461296,0.07264070378087313,-0.004968617124746721,-0.0024019656020067845,-0.014864785596313105,0.011112929297543145,0.025262069929552454,-0.011127681230266811,-0.0016432739181395685,0.042715071276513535,0.009031812240302663,-0.013072143275800129,0.007218769607754637,-0.001846816698680705,0.0002513606241719789,0.004598243088802145,-0.03868952260957259,0.024860165112161766,0.355
text,test,12,4,41,49,"41,42,43,44,45,46,47,48,49",9,216,161,2612,182,142,1280,162,127,1332,0.9621008279151232,eligible,0.11140118811522758,-0.0403687291046611,0.15176991721988867,-32.406002442538146,31.28453145615017,17.52114743873939,200,0.4950847940258206,0.14728328617327685,3.1954362552214772,7.754261532993565,6.0,41.69444444444444,3.8333333333333344,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.1743819532494182,0.36335070919411827,0.4355773180977046,0.08479158249414737,0.7574249997496615,0.029962018311040936,-0.009793272356131864,0.06112475398547415,-0.11881203046182007,-0.007913911907102807,0.008238046294524183,0.06321918118718271,-0.06709472594880032,-0.03132686574124137,0.04236565278025975,0.07003157453313312,-0.005894993794368331,-0.0015220857481917155,-0.014243732395720342,0.01004551710727896,0.026218234082695233,-0.01487899786674582,-0.0022361760906898912,0.037345931321833996,0.0034122353093947034,-0.014383183483522074,0.009341445651698588,-0.0008882861809299875,0.0028573717091541855,0.004092497041908853,-0.04063191350224666,0.023589020420839487,0.45
text,test,13,0,1,10,"7,8,9,10",4,32,28,386,14,14,270,18,18,116,0.8473379933330532,insufficient_support,,,,,,,0,0.527983324628648,0.05364305525216156,3.3856778459936825,7.59027639907333,8.25,45.46875,4.725666781135532,1.0,0.0,0.0,0.03125,0.0,0.0,3.625,0.3125,0.0,0.07707870413446347,-0.027265971753710767,0.1025877215282929,0.0691499788460795,0.02055761946136509,-0.06314618610733821,0.2713625151106246,-0.1857738897652243,0.35342769854483075,0.07352833621069353,0.19335391211095593,0.14888247540731014,-0.14738735595388777,-0.0459002398679468,-0.05193922976297485,-0.007261996970533702,-0.019105407547221558,-3.6853600085389685e-05,-0.009686903754802826,0.02140653618030608,-0.024546345647720617,0.07568173378163848,0.033260649063894095,-0.04281063726676678,0.15676153954701788,0.0721879868235798,0.020582421411594984,0.02370324089033906,0.02601635928721939,0.07798196579192611,0.5430784886120916,-0.30733842237614883,0.085
text,test,13,1,11,20,"11,12,13,14,15,16,17,18,19,20",10,66,61,1598,32,30,946,35,35,652,0.8473379933330532,eligible,-7.190434761371119,-2.284037597234472,-4.906397164136647,-25.103184072825933,11.238891594813868,9.395210635845707,200,0.4987224243878854,0.041791584983865135,3.593506166153395,7.909073968151633,6.9393939393939394,39.27272727272727,4.871506271506273,1.0,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,3.393939393939394,0.22727272727272727,0.09090909090909091,0.04727570004652711,-0.012904845273974142,0.1378758291180835,0.09467343687401186,0.020679805323276002,-0.06632483649702535,0.3100856013535455,-0.18480052167454322,0.3682940491058517,0.08376374508925381,0.2207492480016984,0.1970915816324653,-0.16669824339711647,-0.04659627532539442,-0.11056380422741337,-0.05286409706255042,-0.022432455992211758,-0.007167176986126254,5.072922095580015e-05,-0.010063049656335817,0.007169010424753249,0.030946522611129342,0.019586637767869928,-0.006628538617066354,0.08953815022926462,0.06877066775848799,0.01339522819190619,0.020571661530126295,0.03155916877958894,0.09835811296978818,0.47604704803364545,-0.29424350065758204,0.155
text,test,13,2,21,30,"21,22,23,24,25,26,27,28,29,30",10,107,98,2920,52,51,2086,59,58,834,0.8473379933330532,eligible,10.804159497434068,11.969263702066941,-1.1651042046328746,-21.383518265353608,20.871788057408715,10.360108026993197,199,0.502090729054568,0.041887818374835614,3.4383561953932924,7.547058983886006,6.242990654205608,35.94392523364486,4.8695828055641135,1.0,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,3.102803738317757,0.205607476635514,0.07476635514018691,0.05931648825560954,-0.007841977356386502,0.160348021482768,0.10403074661432998,0.034556234726478174,-0.051996105388156036,0.2951725211940924,-0.19667182410321707,0.39101344639306995,0.08388850675056483,0.22258122213612996,0.19231289756750475,-0.15773591194010003,-0.04096394965725464,-0.11611048603516037,-0.051074565926534525,-0.021951675600139046,-0.004830059842291505,-0.00021409708537934314,-0.008409621176390087,-0.004291266822165565,0.04233568674344077,0.0158418730628794,-0.01705831383850334,0.09234788632444253,0.06364637493262608,0.00495795266453752,0.019169663282608877,0.029808377521039816,0.09700407309404042,0.46153237797292546,-0.2871690240398937,0.255
text,test,13,3,31,40,"31,32,33,34,35,36,37,38,39,40",10,139,128,2311,67,67,887,83,83,1424,0.8473379933330532,eligible,-5.438695521660145,-2.188334418972487,-3.2503611026876578,-20.19521209721495,15.376156028485285,9.350416979983715,200,0.5099694667950134,0.03688119195798439,3.308360487090487,7.218308655363648,5.633093525179856,33.36690647482014,5.060522790558761,1.0,0.0,0.007194244604316547,0.007194244604316547,0.0,0.0,2.920863309352518,0.15827338129496402,0.10071942446043165,0.04244011096185842,-0.007877013949733202,0.1444398869176105,0.10342432555520001,0.020181095825415468,-0.05852574540459346,0.3285949163047238,-0.20190700834078865,0.410049406057384,0.09084402343707804,0.23430904474038522,0.23403728904451807,-0.18391227470175725,-0.04426039450295856,-0.13303673582396855,-0.035582095496093986,-0.0245195383261686,-0.010631721134325848,0.015026401906828316,-0.026517592605783426,0.020516621033212928,0.008007965894347168,0.011166454366982291,-0.0013154732191709088,0.05763803706152214,0.056825857724398514,0.004625486961378781,0.02207763105010381,0.039167886446340595,0.10456798356689363,0.4366828115128658,-0.2804808166790577,0.355
text,test,13,4,41,49,"41,42,43,44,45,46,47,48,49",9,146,138,3645,91,89,1972,96,93,1673,0.8473379933330532,eligible,10.835580055207274,-0.41595850594457595,11.25153856115185,-16.683715508665426,36.20418883248902,13.33705720473668,200,0.5056311163892955,0.03536918304706338,3.1693234533090875,6.853253842426279,5.397260273972603,32.67123287671233,5.217663747971967,1.0,0.0,0.0,0.0,0.0,0.0,2.7945205479452055,0.11643835616438356,0.0684931506849315,0.037040839564852185,-0.00533338114972744,0.1481338634800362,0.09942427271189967,0.030023540506809644,-0.049917459309868954,0.3271781136883328,-0.20391153549318186,0.41970200555962534,0.09458081635785653,0.2410986908183712,0.24576921676024532,-0.1903877297837992,-0.043814967374214295,-0.1422365878225943,-0.023839868311166745,-0.024418900526207026,-0.011053037911614496,0.022745399956375003,-0.030261999638407113,0.024890995227409476,-0.0001866673085927436,0.0073798114917434975,0.005083917632736656,0.04685005413530313,0.05132582657581525,0.0024133726351414832,0.02559993589721545,0.04463992942345629,0.1098505658962039,0.4375471644898238,-0.2805880828357312,0.45
text,test,15,0,1,10,"1,8",2,24,20,61,16,14,48,8,6,13,0.975711524914068,insufficient_support,,,,,,,0,0.39005968996945467,0.12182152037362533,3.2551919099274844,7.670755457494754,5.666666666666667,37.666666666666664,4.782473544973545,1.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.041666666666666664,1.625,1.0833333333333333,0.08333333333333333,0.042667858815848995,-0.0018123186713079901,0.4212999387539537,0.38477798473039143,-0.3777132105996761,0.04855157230292018,-0.10130253758626095,-0.015351665689811464,-0.013183235453598794,-0.015767060808692057,-0.07799175133976806,0.06058877239337975,-0.10174664731503218,-0.010145523415512897,0.4093417382989241,0.4372475945764081,-0.05495832936180269,0.031250288345964286,0.027183651067015813,-0.007375016768306157,0.138515389986311,-0.1906056590992462,0.03019589774095849,0.025764219861975194,0.09494997929751225,-0.04504148252303353,0.024226313092638188,0.03685889766922238,0.013361499638831958,-0.008327919784141852,0.02637634299043498,-0.007511966265952868,0.045
text,test,15,1,11,20,"11,16,17,18,19,20",6,82,59,324,58,48,238,28,19,86,0.975711524914068,eligible,2.172956094107532,3.830246913580246,-1.6572908194727138,-21.92627039938453,16.724906725575227,10.268809008849788,200,0.38619505735088855,0.09971481142710616,3.140607263046226,7.706536889902371,5.548780487804878,35.390243902439025,4.552439024390244,1.0,0.9634146341463414,0.0,0.9634146341463414,0.0,0.024390243902439025,1.5121951219512195,1.0365853658536586,0.036585365853658534,0.032110753782324426,0.0008225456120222939,0.43458012626063436,0.3991646515881491,-0.3871650485699093,0.053641305636222034,-0.09767225772315796,-0.009782559094426607,-0.017778447618981254,-0.01888898480937599,-0.08812013573213827,0.06636148421411729,-0.09850864178281779,-0.008086438348532895,0.40644656824901043,0.4227771073935462,-0.05566210857695121,0.02868731516926186,0.03050681654647393,-0.013570822149006376,0.1516069143627826,-0.20816926085627485,0.03367791614455409,0.017269007762157753,0.0921826263179665,-0.040285829030656736,0.023201506591605144,0.042891354036293176,0.004952518708811946,-0.008719727813622994,0.027749874196471663,-0.003920624640432828,0.16833333333333333
text,test,15,2,21,30,"21,22,23,24,25,26,27,28,29,30",10,104,69,511,68,47,279,49,39,232,0.975711524914068,eligible,3.466265280058382,-4.8459339078534125,8.312199187911794,-13.073428914302399,30.13171561600258,11.39075879785093,197,0.43288577190151484,0.09552244305413365,3.240297853788401,7.757754700020101,5.528846153846154,35.26923076923077,4.571840659340659,1.0,0.9519230769230769,0.0,0.9615384615384616,0.0,0.019230769230769232,1.5096153846153846,1.0288461538461537,0.038461538461538464,0.03113510523032895,0.0021597989384797766,0.430626685919517,0.39491625008247944,-0.3831235491192761,0.05471420554488331,-0.1038375330259136,-0.01162571215878201,-0.01259688271458191,-0.019621395621132333,-0.0888059456268337,0.06607611816323296,-0.0998437139624482,-0.006637191500893194,0.41008744164222305,0.42308221244032546,-0.05546770048354727,0.02936477260060568,0.030078320034212156,-0.013879648420344191,0.15067926595609052,-0.20787148189770738,0.034701852762042025,0.014595839544943588,0.09240435883864105,-0.039107419854262845,0.023145104837327582,0.04472620950141035,0.005484356797703677,-0.00799407072168479,0.03176123811306771,-0.006548076638918997,0.255
text,test,15,3,31,40,"31,32,33,34,35,36,37,38,39,40",10,113,81,869,86,65,564,50,40,305,0.975711524914068,eligible,3.1134211830995797,-0.9482076686591633,4.061628851758743,-18.75978757856939,26.838208438513,12.588109405183452,200,0.4473353511050982,0.08189464435381921,3.2904313986849125,7.73100259497638,5.495575221238938,34.84070796460177,4.549697991290912,1.0,0.9557522123893806,0.0,0.9646017699115044,0.0,0.008849557522123894,1.4690265486725664,1.0265486725663717,0.035398230088495575,0.028384671459756143,0.0034281179003720183,0.42899091652421967,0.39401608206874184,-0.38249642217328844,0.054579930129437036,-0.10861923372166458,-0.011674560824296234,-0.012824873073651887,-0.019500882422250194,-0.08924402324695278,0.06643027875920522,-0.09966709350731173,-0.006123177183060577,0.41111293700095586,0.42170728910721655,-0.05547635750571078,0.02924779575066607,0.030146408228592016,-0.01490438244447252,0.15267262638880946,-0.209968467575184,0.035030227764003566,0.012997217776351905,0.0897829181802649,-0.03973419665356489,0.02549018573612899,0.044422912784877144,0.0077778017210569554,-0.007613919035117738,0.028914527160679368,-0.008910996678040758,0.355
